elapsed,wall_time,frame_time,requested_command_pwm,command_pwm,measured_angle,measured_angle_raw,target_joint,pwm_biceps,pwm_triceps,pwm_deltoid
0.03113217700001769,1787213975.7657633,323.9669771194458,0.007362193262111606,0.0,88.22677238161971,88.36718516316829,elbow,0,0,0
0.046164886000042316,1787213975.7807446,324.0082063674927,0.016245787388391553,0.0,88.24329624911287,88.33986650234382,elbow,0,0,0
0.06170106800027497,1787213975.7962775,324.02326822280884,0.02912476396555377,0.0,88.26005304090269,88.35798457098488,elbow,0,0,0
0.07630411500031187,1787213975.8108714,324.0383884906769,0.044690989359591024,0.0,88.27675571931661,88.3743709952038,elbow,0,0,0
0.09091605000003256,1787213975.8254879,324.05298471450806,0.06365525280133094,0.0,88.29173614574461,88.37928608369097,elbow,0,0,0
0.10536914100021022,1787213975.8399236,324.0675570964813,0.08577778408045758,0.0,88.30694578975186,88.39583534142261,elbow,0,0,0
0.11976180999999997,1787213975.8543136,324.0819528102875,0.11116162510418952,0.0,88.32225094928816,88.41169872129261,elbow,0,0,0
0.13415716300005442,1787213975.8687117,324.09634375572205,0.13992569580857064,0.0,88.33763510404191,88.42754454690868,elbow,0,0,0
0.14887881499998912,1787213975.8834636,324.1108181476593,0.17286135470847416,0.0,88.35419851475304,88.45099986996868,elbow,0,0,0
0.1638426940003228,1787213975.8984468,324.12556862831116,0.2100149604278012,0.0,88.37117563797817,88.47039484859357,elbow,0,0,0
0.17969941499995912,1787213975.914301,324.141446352005,0.25346124003025866,0.0,88.38700882818108,88.47954256388076,elbow,0,0,0
0.19467986800009385,1787213975.9292831,324.1564841270447,0.2983882180345396,0.0,88.40228123846134,88.49153761435649,elbow,0,0,0
0.20948210699998526,1787213975.9440691,324.17143273353577,0.34651147191782544,0.0,88.41706221126248,88.50344648461716,elbow,0,0,0
0.22417377900001156,1787213975.9587564,324.1861574649811,0.39796655806295494,0.0,88.42875775256242,88.49710987324333,elbow,0,0,0
0.2389970910003285,1787213975.9735854,324.20092964172363,0.4536331295184632,0.0,88.433334813218,88.46008447740807,elbow,0,0,0
0.25389962200006266,1787213975.988494,324.2158055305481,0.5134172568129868,0.0,88.43234081685158,88.42653161504967,elbow,0,0,0
0.2688825010000073,1787213976.0034888,324.23060870170593,0.5774068502958501,0.0,88.42843132603437,88.4055831327541,elbow,0,0,0
0.28368760400007886,1787213976.018278,324.24564123153687,0.6444820655966044,0.0,88.42459651852717,88.40218479607684,elbow,0,0,0
0.2986112379999213,1787213976.033216,324.26041650772095,0.7159814457769144,0.0,88.42129414054679,88.40199409000107,elbow,0,0,0
0.31342848900021636,1787213976.048018,324.27536129951477,0.7908498930185838,1.0,88.41966611830499,88.41015148619958,elbow,1,0,0
0.3283465120002802,1787213976.0630002,324.29013204574585,0.8701484733021008,1.0,88.41829821543732,88.410303796069,elbow,1,0,0
0.34318553899993276,1787213976.0777755,324.30514311790466,0.9529452784053657,1.0,88.41637705597928,88.40514924533288,elbow,1,0,0
0.3583072930000526,1787213976.0929158,324.3199632167816,1.0413538645309495,1.0,88.41398955499292,88.40003630978944,elbow,1,0,0
0.3746265210002093,1787213976.109238,324.3358883857727,1.1413469512518482,1.0,88.4112857832624,88.39548416050044,elbow,1,0,0
0.39386009800000465,1787213976.128469,324.35571002960205,1.2653242901082966,1.0,88.40907744214834,88.39617125897466,elbow,1,0,0
0.40882860100009566,1787213976.1434364,324.37062549591064,1.3664083431444491,1.0,88.40936616988698,88.41105357816758,elbow,1,0,0
0.42358024400027716,1787213976.158172,324.3855528831482,1.469973980611199,1.0,88.41005074247089,88.41405158233542,elbow,1,0,0
0.4385869289999391,1787213976.1731858,324.4002776145935,1.5793550328208616,1.0,88.4142174382748,88.43856881177058,elbow,1,0,0
0.45343993699998464,1787213976.1880298,324.41537737846375,1.691616845713546,1.0,88.42178842465277,88.46603545532106,elbow,1,0,0
0.46825661399998353,1787213976.2028475,324.4301583766937,1.8075716842767597,1.0,88.43147714033658,88.48810079260535,elbow,1,-1,0
0.4829411680002522,1787213976.217518,324.4450044631958,1.9264026008407729,1.0,88.44176047913854,88.50185928061919,elbow,1,-1,0
0.4976008520002324,1787213976.232176,324.4596676826477,2.048913347768412,2.0,88.45114697628502,88.5060043761499,elbow,2,-1,0
0.512380568000026,1787213976.2470176,324.4742679595947,2.1763493464708334,2.0,88.45977566954333,88.5102042446546,elbow,2,-1,0
0.5273502919999373,1787213976.2619472,324.4891471862793,2.309432657989111,2.0,88.46940131182731,88.52565634493372,elbow,2,-1,0
0.5421709870001905,1787213976.2767568,324.50412702560425,2.4451583039282476,2.0,88.47951329806892,88.5386106657054,elbow,2,-1,0
0.5568163210000421,1787213976.2913914,324.51885056495667,2.583146544782151,2.0,88.49042031511745,88.55416407237074,elbow,2,-1,0
0.5713822140000957,1787213976.305955,324.53345465660095,2.724189770855838,2.0,88.50080489905463,88.56149540634216,elbow,2,-1,0
0.585934608000116,1787213976.3205056,324.5480144023895,2.8688775315576103,2.0,88.51147012924261,88.5738008142621,elbow,2,-1,0
0.6006424199999856,1787213976.3352199,324.5626435279846,3.0189298685757358,2.0,88.52000803877259,88.56990604755983,elbow,2,-1,0
0.6152458860001389,1787213976.3498194,324.5772879123688,3.1716996884648054,2.0,88.52937907612208,88.58414612446911,elbow,2,-1,0
0.6298031680003078,1787213976.3643754,324.5918791294098,3.327718361521444,3.0,88.53684893532764,88.58050494959788,elbow,3,-2,0
0.6444845740002165,1787213976.3790736,324.6064374446869,3.4888201620844463,3.0,88.54436615577544,88.5882989628218,elbow,3,-2,0
0.6592172740001843,1787213976.3938086,324.621160030365,3.654249832583614,3.0,88.55233659237828,88.59891812551012,elbow,3,-2,0
0.6739060499999141,1787213976.4084892,324.6359097957611,3.8229152568640448,3.0,88.56038642333196,88.60743195997681,elbow,3,-2,0
