"participant","condition","joint","controller_mode","target_mode","motor_enabled","tolerance_deg","rmse_deg","mae_deg","max_error_deg","within_tolerance_percent","sample_rate_hz"
"S01","純跟隨模式","elbow","following_only","sine","true","3","15.993719178120466","9.31715822104405","52.25593987222041","32","6.713366380273553"

"time_s","system_time_s","target_deg","measured_deg","error_deg"
"0.20029999999701978","461.66717433929443","37.51380969969826","-4.921107981757203","42.43491768145546"
"0.37689999999850987","461.8484888076782","42.079038655541424","-4.832419312592464","46.91145796813389"
"0.5255999999977649","462.0039539337158","45.29818752267224","-4.646816539198653","49.94500406187089"
"0.7076999999992549","462.1826927661896","48.038772956244614","-3.8097090106428473","51.84848196688746"
"0.8778999999985099","462.3361735343933","49.47208567794044","-2.7838541942799684","52.25593987222041"
"1.0548999999985098","462.5218846797943","49.990546714760285","-1.1191246597516158","51.1096713745119"
"1.224199999999255","462.70373940467834","49.185096483799484","1.6844831908737088","47.50061329292578"
"1.441599999997765","462.8839490413666","47.14612129718794","7.0482658921020365","40.0978554050859"
"1.55","463.03741812705994","44.512368275751655","12.402091335880904","32.11027693987075"
"1.6105","463.0886437892914","43.46657478915057","14.185912058964469","29.2806627301861"
"1.81589999999851","463.2963376045227","38.492673963905695","21.41126420511301","17.081409758792685"
"2.03589999999851","463.50165247917175","32.67603493414305","23.389392037734343","9.286642896408704"
"2.214","463.68298721313477","27.102781436269783","21.118646519657148","5.984134916612636"
"2.2210999999977648","463.70979619026184","26.262502697884923","20.64684452391802","5.615658173966903"
"2.40179999999702","463.88852620124817","20.67001707408228","17.510810349039318","3.1592067250429636"
"2.576599999997765","464.0677418708801","15.280980003007397","14.173553939934832","1.1074260630725643"
"2.7535","464.24698185920715","10.38218331918885","10.974608585122223","-0.5924252659333717"
"2.863199999999255","464.32397294044495","8.49142023440194","9.513181922923971","-1.021761688522032"
"2.98979999999702","464.4780557155609","5.187432536306382","6.479233668034219","-1.291801131727837"
"3.2525","464.70968770980835","1.64527495335426","2.160879705916551","-0.5156047525622909"
"3.407599999997765","464.88842606544495","0.24532604913467893","-0.7776600713010833","1.0229861204357622"
"3.4755","464.9408075809479","0.06912922175995817","-1.5441377781160548","1.613266999876013"
"3.60489999999851","465.06832003593445","0.09207869126721846","-3.2207486380138963","3.312827329281115"
"3.828199999999255","465.2762174606323","1.4909642297529224","-3.4756199603601106","4.966584190113033"
"4.00189999999851","465.4809145927429","4.427997866437984","-1.23789957466539","5.665897441103374"
"4.091","465.56167340278625","5.972996045664299","-0.243937623894597","6.216933669558896"
"4.1795","465.66571283340454","8.249478115414966","1.158545344155874","7.090932771259093"
"4.35829999999702","465.8396031856537","12.670970029876633","3.1225602614072163","9.548409768469417"
"4.5635999999977646","466.0373914241791","18.39988369726379","5.2632706794656","13.13661301779819"
"4.73039999999851","466.2110857963562","23.77796141871042","7.564756671262421","16.213204747447996"
"4.76789999999851","466.26043033599854","25.32766928717065","8.21229770320614","17.11537158396451"
"4.909099999997765","466.40786123275757","29.926893771359644","10.570436670124018","19.356457101235627"
"5.1255","466.60419392585754","35.76355036332366","14.12823293878938","21.63531742453428"
"5.283099999997765","466.7765908241272","40.36213544368071","17.738427824173023","22.623707619507684"
"5.34639999999851","466.8264527320862","41.56700332747286","18.97332545636051","22.59367787111235"
"5.443099999997765","466.92509412765503","43.754732179842236","21.763786361305474","21.990945818536762"
"5.700699999999255","467.1953101158142","48.1897703984998","31.890747322958582","16.29902307554122"
"5.8578999999985095","467.34292340278625","49.51455261568063","38.027162189555646","11.487390426124982"
"5.978099999997765","467.4659786224365","49.97715625098347","42.71996583253605","7.257190418447422"
"6.0465","467.54003500938416","49.968368629661626","45.214035953487844","4.754332676173782"
"6.258","467.7368679046631","48.900656843108365","50.58197356901146","-1.6813167259030948"
"6.4095","467.8842968940735","47.141048737525","51.223776104850735","-4.082727367325738"
"6.56889999999851","468.0579421520233","44.10283064666329","49.064109873570615","-4.9612792269073225"
"6.734699999999255","468.2308659553528","40.17664810618301","44.650570785464495","-4.473922679281486"
"6.91739999999851","468.40319895744324","35.55346302670188","39.4206876212701","-3.8672245945682207"
"7.128199999999255","468.624871969223","28.91483426083105","32.41644095827909","-3.5016066974480395"
"7.227","468.72327303886414","25.83949439829407","29.758396606395962","-3.9189022081018905"
"7.29","468.7725646495819","24.29120561834935","28.4796495366398","-4.188443918290453"
"7.43329999999702","468.9208948612213","19.67235177332468","24.01162395000573","-4.33927217668105"
"7.6107999999970195","469.0930366516113","14.553862707230053","19.115172490809865","-4.561309783579812"
"7.78489999999851","469.2659842967987","9.902103119492145","15.201787043361769","-5.299683923869624"
"7.8325","469.3151214122772","8.701264453089895","13.95950844478671","-5.2582439916968156"
"7.957199999999255","469.43891286849976","5.961054064480781","11.189810473328286","-5.228756408847506"
"8.15629999999702","469.63628244400024","2.566164836854256","7.902652649573205","-5.336487812718949"
"8.31979999999702","469.80913615226746","0.7156392342714497","5.1607835046319","-4.4451442703604505"
"8.44729999999702","469.9323525428772","0.09027575824738676","3.241492942535071","-3.151217184287684"
"8.50079999999702","469.98197746276855","0.006411254847499492","2.5252969283427085","-2.518885673495209"
"8.711399999998509","470.2035303115845","0.8132408640815392","-0.3852787938363108","1.19851965791785"
"8.899599999997765","470.37567591667175","2.734485212622854","-0.6235972828873253","3.358082495510179"
"9.060199999999256","470.54859137535095","5.708991041808499","1.3719396663261152","4.337051375482384"
"9.28829999999702","470.7745273113251","10.935635926048953","7.159606009808479","3.776029916240474"
"9.474699999999254","470.95431113243103","15.922947892510944","13.249084954904099","2.6738629376068452"
"9.66439999999851","471.13322353363037","21.344511865965178","19.71051882886247","1.6339930371027087"
"9.704699999999255","471.1867187023163","23.014054030110792","21.37546846567519","1.6385855644356013"
"9.859099999997765","471.3141222000122","27.012279097247966","25.562596660392437","1.4496824368555288"
"10.0495","471.51863956451416","33.28017367946676","32.039018367715165","1.2411553117515979"
"10.213199999999254","471.6990211009979","38.36969411303028","36.7642737155374","1.6054203974928782"
"10.33529999999702","471.82802295684814","41.60391446389166","39.972882896958886","1.6310315669327764"
"10.370199999999254","471.85340094566345","42.19140694222649","40.63496633337094","1.556440608855553"
"10.575","472.0573902130127","46.23168923371014","46.04770081892575","0.18398841478439465"
"10.77189999999851","472.26055908203125","48.876824988890476","50.344679054861786","-1.4678540659713093"
"10.945199999999256","472.4134657382965","49.852334878045724","53.012295252880996","-3.159960374835272"
"10.969599999997765","472.4418706893921","49.933330535998024","53.41810272957973","-3.484772193581705"
"11.126199999999255","472.59662771224976","49.815923029830856","54.79624150104537","-4.980318471214517"
"11.3115","472.7773537635803","48.496868166123335","53.07550563272434","-4.578637466601002"
"11.47579999999702","472.93325424194336","46.38539355527845","49.433670708109624","-3.048277152831176"
"11.610699999999255","473.0869810581207","43.501745591869216","45.015021524088404","-1.5132759322191873"
"11.679699999999254","473.1630048751831","41.81357807348441","43.046094153380054","-1.232516079895646"
"11.97","473.4424934387207","34.42196618990934","35.90027316796242","-1.4783069780530766"
"12.20729999999702","473.67021441459656","27.502340757188115","31.208589650287117","-3.7062488930990014"
"12.25779999999702","473.72813534736633","25.686811897799046","30.142171500075918","-4.4553596022768716"
