"participant","condition","joint","controller_mode","target_mode","motor_enabled","tolerance_deg","rmse_deg","mae_deg","max_error_deg","within_tolerance_percent","sample_rate_hz"
"S01","LADRC 跟隨＋自抗擾補償","elbow","adrc","sine","true","3","12.413746706400396","9.638043651678828","36.88971856786207","19.587628865979383","6.51032836468821"

"test_time_s","system_time_s","wall_time","reference_target_deg","measured_deg","tracking_error_deg","target_angle","reference_target_angle","target_velocity","reference_target_velocity","measured_angle_raw","elbow_angle","elbow_angle_raw","shoulder_angle","shoulder_angle_raw","upper_angle","forearm_angle","omega","alpha","jerk","error_for_control","integral_error","derivative_error","filtered_measurement_velocity","control_active","anti_windup_active","raw_pid_output","feedback_pid_output","feedforward_output","following_output","elbow_following_output","shoulder_following_output","controller_compensation_output","pid_output","motor_cmd","adrc_output","adrc_raw_output","adrc_estimated_angle","adrc_estimated_velocity","adrc_estimated_disturbance","adrc_observer_error","adrc_saturated","ilc_output","ilc_current_cycle","ilc_last_rmse","ilc_improvement_percent","ilc_learned_peak_pwm","ilc_frozen","desired_motor_cmd","desired_pwm_biceps","desired_pwm_triceps","desired_pwm_deltoid","pwm_biceps","pwm_triceps","pwm_deltoid","virtual_cable_effort_biceps","virtual_cable_effort_triceps","virtual_cable_effort_deltoid","elbow_soft_landing_scale","shoulder_motion_state","shoulder_release_command","shoulder_release_pwm","shoulder_motor_enable","motor_enabled","emergency_stop","motion_state","target_joint","target_mode","controller_mode"
"0.19039999999850987","471.5403561592102","2026-09-08T16:19:33.376Z","33.92075034847865","1.029250542667177","32.89149980581147","33.92075034847865","33.92075034847865","29.347795111293447","29.347795111293447","1.1596793098250657","1.029250542667177","1.1596793098250657","2.349151873772765","2.1709674732119426","1.9223744939131677","3.0820538037382335","1.609321328156179","16.22245524345086","72.85397529305976","32.89149980581147","0","0","0","true","false","322.77082217314626","65","0","0","0","0","65","195","195","65","322.77082217314626","0.9473101436765738","-1.1102458888770914","-69.04489735325583","-0.09447077776422608","true","0","-1","0","0","0","false","195","195","-195","0","195","-195","0","619.3678607940674","321.28384351730347","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
"0.23260000000149011","471.59124088287354","2026-09-08T16:19:33.419Z","35.39485601845957","1.1282501331010668","34.2666058853585","35.39485601845957","35.39485601845957","28.571488092885115","28.571488092885115","1.496653691035533","1.1282501331010668","1.496653691035533","2.13081290632532","1.2911726979041158","1.897900758416398","3.394554449451931","3.83927254765166","31.3943229788808","198.2197260750154","34.2666058853585","0","0","0","true","false","318.2349036717877","65","130","130","130","-130","65","195","195","65","318.2349036717877","1.0495838236038568","-0.1321097714627258","-66.03942343497349","-0.10651154556714038","true","0","-1","0","0","0","false","195","195","-195","0","195","-195","0","627.2804720401764","312.75973439216614","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
"0.37779999999701974","471.74415826797485","2026-09-08T16:19:33.564Z","39.54576313150521","2.656044563643141","36.88971856786207","39.54576313150521","39.54576313150521","25.550888828918218","25.550888828918218","5.05178927420792","2.656044563643141","5.05178927420792","2.106150591123471","1.7366292898046531","1.963865410377963","7.015654684585883","21.18183599074529","106.03585100100759","333.82068934010863","36.88971856786207","0","0","0","true","false","257.4676104759559","65","130","130","130","0","65","195","195","65","257.4676104759559","2.5773465117883094","9.199231981099752","-44.18731660581439","-0.26466594709606595","true","0","-1","0","0","0","false","195","195","-195","0","195","-195","0","651.135584115982","283.32167863845825","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.5887999999970198","471.950067281723","2026-09-08T16:19:33.775Z","44.264178334890985","7.941100608423495","36.32307772646749","44.264178334890985","44.264178334890985","20.02321854384144","20.02321854384144","12.89706407192422","7.941100608423495","12.89706407192422","2.2709353983442027","2.8948733973191274","2.171906330586083","15.068970402510303","37.813322143342425","70.57006077408465","-169.8718174131876","36.32307772646749","0","0","0","true","false","105.61785749627039","65","130","130","130","0","65","195","195","65","105.61785749627039","8.37535713334444","31.33811934839689","-7.322175908305989","0.03245722159502851","true","0","-1","0","0","0","false","195","195","-195","0","195","-195","0","683.2573902606964","243.1694209575653","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.7897999999970198","472.1313033103943","2026-09-08T16:19:33.976Z","47.36436454351875","15.374783959778126","31.98958058374062","47.36436454351875","47.36436454351875","14.040364811010042","14.040364811010042","22.483979833775706","15.374783959778126","22.483979833775706","2.7649883638962116","2.879427351832186","1.987149094257731","24.471128928033437","48.17272344673292","51.916566491501875","-118.97037436396029","31.98958058374062","0","0","0","true","false","-5.032241584065715","0","130","130","130","0","0","130","130","-5.032241584065715","-5.032241584065715","16.11585425657032","44.86653615226206","6.721597366851369","0.23274788097600307","false","0","-1","0","0","0","false","130","138","-138","0","138","-138","0","710.7525560855865","208.65789365768433","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.8951000000014901","472.2336823940277","2026-09-08T16:19:34.081Z","48.613013357577266","20.19303592544756","28.419977432129706","48.613013357577266","48.613013357577266","10.318635570516589","10.318635570516589","27.205599446478146","20.19303592544756","27.205599446478146","3.0746061900584625","2.881135667275489","1.8020952724674544","29.0076947189456","42.248705463340364","-41.95475656564584","-748.6175612124962","28.419977432129706","0","0","0","true","false","-40.10298829183101","0","130","130","130","0","0","130","130","-40.10298829183101","-40.10298829183101","20.997190391137806","45.3027560916663","10.629798072989997","0.30778165264626267","false","0","-1","0","0","0","false","130","130","-130","0","130","-130","0","722.2959666252136","194.01738286018372","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.95","472.3138074874878","2026-09-08T16:19:34.136Z","49.3188041789861","23.621857367852375","25.696946811133724","49.3188041789861","49.3188041789861","7.283701184034152","7.283701184034152","30.08386570579249","23.621857367852375","30.08386570579249","2.6597361969056035","2.177659075427371","1.6618130678515826","31.745678773644073","36.1970849826225","-64.22219010313208","-428.3337983816641","25.696946811133724","0","0","0","true","false","-47.596719664372486","0","130","130","130","0","0","130","130","-47.596719664372486","-47.596719664372486","24.481197709773713","41.87579515339652","8.578769663772565","0.4417496544116375","false","0","-1","0","0","0","false","130","130","-130","0","130","-130","0","730.6541793346405","183.57591772079468","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"1.2166999999955297","472.5683968067169","2026-09-08T16:19:34.403Z","49.90771438348741","31.471280966029887","18.436433417457522","49.90771438348741","49.90771438348741","-2.6968743545391285","-2.6968743545391285","34.54543580140259","31.471280966029887","34.54543580140259","2.6867641908562145","2.7549295378543595","1.724488202243748","36.26992400364634","12.474566282463801","-79.812026976959","97.59421772946544","18.436433417457522","0","0","0","false","false","-18.329988815259664","0","130","130","130","0","0","130","130","-18.329988815259664","-18.329988815259664","32.047375021858734","23.304435139751607","-14.233891715388584","0.37818896198630014","false","0","-1","0","0","0","false","130","130","-130","0","130","-130","0","757.1314685344696","150.4793062210083","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
"1.3912999999970197","472.72179412841797","2026-09-08T16:19:34.577Z","49.035245957661296","33.87374314154181","15.161502816119487","49.035245957661296","49.035245957661296","-8.64315589807862","-8.64315589807862","35.91452242418164","33.87374314154181","35.91452242418164","2.4446667230911716","1.970903330123239","1.7102746105736202","37.62479703475526","7.625661289306402","-22.08632196575387","421.86772594603497","15.161502816119487","0","0","0","false","false","0.18698320311716188","0","130","130","130","0","0","130","130","0.18698320311716188","0.18698320311716188","34.187556515022735","13.351781189329154","-28.77597378219401","0.1926111248023119","false","0","-1","0","0","0","false","130","130","-130","0","130","-130","0","773.0847899913788","130.53765439987183","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
"1.528","472.8777017593384","2026-09-08T16:19:34.714Z","47.23650086739074","35.535863774919655","11.700637092471084","47.23650086739074","47.23650086739074","-14.357485614134433","-14.357485614134433","36.38760787642482","35.535863774919655","36.38760787642482","2.4546643105649513","3.4151420952405","1.7585374254815918","38.146145301906415","0.31227235126261155","-84.35975490889359","-746.6200852024041","11.700637092471084","0","0","0","false","false","-7.897719952487439","0","-130","-130","-130","130","0","-130","-130","-7.897719952487439","-7.897719952487439","35.72572639278728","7.025868949661037","-31.592600404280613","0.12884103200197927","false","0","-1","0","0","0","false","-130","34","-34","0","34","-34","0","789.2991836071014","110.2696623802185","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
