"participant","condition","joint","controller_mode","target_mode","motor_enabled","tolerance_deg","rmse_deg","mae_deg","max_error_deg","within_tolerance_percent","sample_rate_hz"
"S01","PID 跟隨＋補償","elbow","pid","sine","true","3","19.45132568294753","16.565758535348326","44.786750408125236","9.090909090909092","5.925703932761491"

"test_time_s","system_time_s","wall_time","reference_target_deg","measured_deg","tracking_error_deg","target_angle","reference_target_angle","target_velocity","reference_target_velocity","measured_angle_raw","elbow_angle","elbow_angle_raw","shoulder_angle","shoulder_angle_raw","upper_angle","forearm_angle","omega","alpha","jerk","error_for_control","integral_error","derivative_error","filtered_measurement_velocity","control_active","anti_windup_active","raw_pid_output","feedback_pid_output","feedforward_output","following_output","elbow_following_output","shoulder_following_output","controller_compensation_output","pid_output","motor_cmd","adrc_output","adrc_raw_output","adrc_estimated_angle","adrc_estimated_velocity","adrc_estimated_disturbance","adrc_observer_error","adrc_saturated","ilc_output","ilc_current_cycle","ilc_last_rmse","ilc_improvement_percent","ilc_learned_peak_pwm","ilc_frozen","desired_motor_cmd","desired_pwm_biceps","desired_pwm_triceps","desired_pwm_deltoid","pwm_biceps","pwm_triceps","pwm_deltoid","virtual_cable_effort_biceps","virtual_cable_effort_triceps","virtual_cable_effort_deltoid","elbow_soft_landing_scale","shoulder_motion_state","shoulder_release_command","shoulder_release_pwm","shoulder_motor_enable","motor_enabled","emergency_stop","motion_state","target_joint","target_mode","controller_mode"
"0.17470000000298022","87.9455132484436","2026-09-08T15:53:07.818Z","46.18338993959405","1.3966395314688111","44.786750408125236","46.18338993959405","46.18338993959405","-16.683672775700494","-16.683672775700494","1.3828893059331762","1.3966395314688111","1.3828893059331762","0.7849917639830182","1.234392091074591","0.7767410769209846","2.1596303828541608","-0.2559708032240314","-0.24571833767363438","-7.06762171501609","0","0","-16.59537273786054","-0.08830003783995528","false","true","243.8378213340097","0","0","0","0","0","0","0","0","0","0","1.3966395314688111","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","347.03104615211487","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"0.3645","88.12425971031189","2026-09-08T15:53:08.008Z","42.69410698017792","1.3505928515330372","41.343514128644884","42.69410698017792","42.69410698017792","-22.193739556650957","-22.193739556650957","1.2932863586855348","1.3505928515330372","1.2932863586855348","0.8331902171968164","1.2248316781489228","0.794299869180108","2.0875862278656427","-0.1080305021602841","0.8764390985248964","5.730041609112663","0","0","-21.88521924483796","-0.3085203118129979","false","true","224.10654482082117","0","0","0","0","0","0","0","0","0","0","1.3505928515330372","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","347.03104615211487","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"0.398","88.17804622650146","2026-09-08T15:53:08.041Z","41.46089002577276","1.332165151163741","40.12872487460902","41.46089002577276","41.46089002577276","-23.64479090258762","-23.64479090258762","1.2835642575076918","1.332165151163741","1.2835642575076918","0.8010563562680004","0.7036422651010257","0.7762698456182164","2.059834103125908","-0.09041479594552629","0.6491988032337831","1.4107626031596041","0","0","-23.317057979509848","-0.32773292307777285","false","true","217.21042811342312","0","0","0","0","0","0","0","0","0","0","1.332165151163741","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","347.03104615211487","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"0.5788999999985098","88.35523104667664","2026-09-08T15:53:08.222Z","36.899572032586406","1.2541890247901168","35.64538300779629","36.899572032586406","36.899572032586406","-27.628879377111893","-27.628879377111893","1.1970972384265224","1.2541890247901168","1.1970972384265224","0.8715619554607488","1.033453490865078","0.7644181005723567","1.961515338998879","-0.1779710271158694","2.0457641090868224","34.118545969473814","0","0","-27.197658189809214","-0.431221187302679","false","true","191.96995781440822","0","0","0","0","0","0","0","0","0","0","1.2541890247901168","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","347.03104615211487","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"0.7958999999985099","88.53372097015381","2026-09-08T15:53:08.439Z","31.71126535349087","1.281571417310105","30.429693936180765","31.71126535349087","31.71126535349087","-30.262756208060768","-30.262756208060768","1.3250511645042025","1.281571417310105","1.3250511645042025","0.9271132811933077","0.7274563782940257","0.8541472131730501","2.1791983776772526","0.6827661667096573","0.8720705824195498","-55.82956639108161","0","0","-30.60543971030349","0.34268350224272276","false","true","162.7725006924487","0","0","0","0","0","0","0","0","0","0","1.281571417310105","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","347.03104615211487","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"1.0743000000044705","88.81854462623596","2026-09-08T15:53:08.718Z","22.849268870346286","1.9111869979446336","20.938081872401654","22.849268870346286","22.849268870346286","-31.299455510742852","-31.299455510742852","2.0921591347711797","1.9111869979446336","2.0921591347711797","1.00994159212784","1.4294837100227322","0.7666465468357444","2.858805681606924","0.6341811847588146","-15.341315505381488","-50.349043321768896","0","0","-32.92397941809165","1.6245239073487987","false","true","110.22085338549535","0","0","0","0","0","0","0","0","0","0","1.9111869979446336","0","0","0","false","0","-1","0","0","0","false","0","1","-1","0","1","-1","0","352.15444684028625","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"1.09989999999851","88.86982274055481","2026-09-08T15:53:08.743Z","21.24986593899688","1.9660897101263692","19.28377622887051","21.24986593899688","21.24986593899688","-31.06046107872876","-31.06046107872876","2.1549806197244408","1.9660897101263692","2.1549806197244408","0.9890101652785718","0.8776554163915458","0.6537375623207851","2.808718182045226","1.1794521367517021","-0.22891480509899864","146.6303739707236","0","0","-32.333403100414294","1.2729420216855347","false","true","101.21075879372567","0","0","0","0","0","0","0","0","0","0","1.9660897101263692","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","352.3082811832428","0","108.67194080352783","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"1.29","89.048499584198","2026-09-08T15:53:08.933Z","15.840729345725503","2.4594298995418393","13.381299446183665","15.840729345725503","15.840729345725503","-29.231543346832577","-29.231543346832577","2.951463088054666","2.4594298995418393","2.951463088054666","1.1738794969553223","1.231732435245149","0.6959708779364178","3.647433965991084","3.1401063027004734","2.825670603883859","-4.533997028526613","0","0","-32.29247045304877","3.0609271062161953","false","true","68.75327638605285","0","0","0","0","0","0","0","0","0","0","2.4594298995418393","0","0","0","false","0","-1","0","0","0","false","0","10","-6","0","10","-6","0","350.9462989436255","0","109.6388726234436","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"1.4748000000044703","89.22773480415344","2026-09-08T15:53:09.118Z","10.876938884585648","3.459514580500525","7.417424304085124","10.876938884585648","10.876938884585648","-25.922663491750026","-25.922663491750026","4.728012549111114","3.459514580500525","4.728012549111114","1.3936211458475238","2.44276162386638","0.546270604159389","5.274283153270503","11.202543758277741","46.39135705989602","211.72583838282645","0","1.644266761211084","-33.17659758912331","7.253934097373288","false","false","35.81951181642225","0","140","140","140","140","0","140","140","0","0","3.459514580500525","0","0","0","false","0","-1","0","0","0","false","140","195","-26","-22","195","-26","-22","355.0006297959221","0","109.56115055084229","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
"1.6997000000029803","89.48256754875183","2026-09-08T15:53:09.343Z","5.101306611476144","5.805984918318839","-0.7046783068426956","5.101306611476144","5.101306611476144","-19.01811324119436","-19.01811324119436","7.3814601115926735","5.805984918318839","7.3814601115926735","1.2547497716623446","1.3805170086850955","0.5166651541078409","7.898125265700514","11.846438650468276","30.024863172424382","318.3404810043308","0","1.5871579882142282","-28.821467159872295","9.803353918677935","false","false","0","0","140","140","140","0","0","140","140","0","0","5.805984918318839","0","0","0","false","0","-1","0","0","0","false","140","140","-77","0","140","-77","0","383.16251410378345","0","108.46018934249878","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","pid"
