"participant","condition","joint","controller_mode","target_mode","motor_enabled","tolerance_deg","rmse_deg","mae_deg","max_error_deg","within_tolerance_percent","sample_rate_hz"
"S01","純跟隨模式","elbow","following_only","sine","true","3","10.187633420807588","8.244233275409925","20.595228195106092","26.373626373626372","6.111597775377791"

"test_time_s","system_time_s","wall_time","reference_target_deg","measured_deg","tracking_error_deg","target_angle","reference_target_angle","target_velocity","reference_target_velocity","measured_angle_raw","elbow_angle","elbow_angle_raw","shoulder_angle","shoulder_angle_raw","upper_angle","forearm_angle","omega","alpha","jerk","error_for_control","integral_error","derivative_error","filtered_measurement_velocity","control_active","anti_windup_active","raw_pid_output","feedback_pid_output","feedforward_output","following_output","elbow_following_output","shoulder_following_output","controller_compensation_output","pid_output","motor_cmd","adrc_output","adrc_raw_output","adrc_estimated_angle","adrc_estimated_velocity","adrc_estimated_disturbance","adrc_observer_error","adrc_saturated","ilc_output","ilc_current_cycle","ilc_last_rmse","ilc_improvement_percent","ilc_learned_peak_pwm","ilc_frozen","desired_motor_cmd","desired_pwm_biceps","desired_pwm_triceps","desired_pwm_deltoid","pwm_biceps","pwm_triceps","pwm_deltoid","virtual_cable_effort_biceps","virtual_cable_effort_triceps","virtual_cable_effort_deltoid","elbow_soft_landing_scale","shoulder_motion_state","shoulder_release_command","shoulder_release_pwm","shoulder_motor_enable","motor_enabled","emergency_stop","motion_state","target_joint","target_mode","controller_mode"
"0.24779999999701977","30.354670524597168","2026-09-08T15:20:06.105Z","2.4421870445156912","1.1369080756632226","1.3052789688524686","1.1369080756632226","2.4421870445156912","0","13.54285606558575","1.192751913422768","1.1369080756632226","1.192751913422768","0.3747546432363521","0.4235402713116407","-0.20142024541021897","0.991331668012549","-0.022191314188694425","-3.0686122971127032","-63.088971089826615","0","0","0","0","false","false","0","0","0","0","0","0","0","0","0","0","0","1.1369080756632226","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","0","0","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","following_only"
"0.44059999999403954","30.5332453250885","2026-09-08T15:20:06.298Z","5.405946299679652","1.2373965433383034","4.168549756341348","1.2373965433383034","5.405946299679652","0","19.51121002871242","1.3067999245220108","1.2373965433383034","1.3067999245220108","0.33714151232833384","0.29455429405950406","-0.2593872758738769","1.0474126486481339","0.1748143605922505","-1.4548220827724823","-28.75252831243339","0","0","0","0","false","false","0","0","0","0","0","0","0","0","0","0","0","1.2373965433383034","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","0","0","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","following_only"
"0.5365999999940395","30.609999418258667","2026-09-08T15:20:06.394Z","6.992261700638821","1.2737881919838439","5.718473508654977","1.2737881919838439","6.992261700638821","0","21.79174475401115","1.3645796545474838","1.2737881919838439","1.3645796545474838","0.3880481852131702","0.37459305401713733","-0.32258633997300024","1.0419933145744835","0.3847324463451467","2.554637368667337","37.5497421840479","0","0","0","0","false","false","0","0","0","0","0","0","0","0","0","0","0","1.2737881919838439","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","0","0","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","following_only"
"0.6706999999955296","30.762275457382202","2026-09-08T15:20:06.528Z","10.619097867756455","1.4933382390364172","9.125759628720038","1.4933382390364172","10.619097867756455","0","25.697833210618057","1.8190015308471885","1.4933382390364172","1.8190015308471885","0.4969012201008282","1.0162376028772642","-0.4304647299961175","1.388536800851071","2.8035032774382924","14.073273640606878","47.68311571671288","0","0","0","0","false","false","0","0","0","0","0","0","0","0","0","0","0","1.4933382390364172","0","0","0","false","0","-1","0","0","0","false","0","0","0","0","0","0","0","0","0","0","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","following_only"
"0.8788999999985099","30.99488854408264","2026-09-08T15:20:06.737Z","17.122013834339658","3.3753440960677037","13.746669738271954","3.3753440960677037","17.122013834339658","0","29.81534850086173","5.868554643593214","3.3753440960677037","5.868554643593214","1.276627435769904","2.2485245031267405","-0.8325971252186122","5.035957518374602","24.173986126219297","131.19914281679354","687.66439146722","0","0","0","0","false","false","0","0","130","130","130","0","0","130","130","0","0","3.3753440960677037","0","0","0","false","0","-1","0","0","0","false","130","123","-68","0","123","-68","0","0.7705414295196533","0","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","following_only"
"1.0585","31.173102140426636","2026-09-08T15:20:06.916Z","22.587940506352215","7.56776021284314","15.020180293509075","7.56776021284314","22.587940506352215","0","31.269361583015993","11.33995487174424","7.56776021284314","11.33995487174424","1.4801793021099394","1.6616944684083725","-0.9796441234736903","10.36031074827055","25.371524180494976","-20.48906291126486","-840.8320675739028","0","0","0","0","false","false","0","0","0","0","0","0","0","0","0","0","0","7.56776021284314","0","0","0","false","0","-1","0","0","0","false","0","15","-8","0","15","-8","0","12.861707210540771","0","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","following_only"
"1.1735","31.275753021240234","2026-09-08T15:20:07.031Z","25.808913808576467","10.079802901645198","15.729110906931268","10.079802901645198","25.808913808576467","0","31.3994768324367","13.75113658970406","10.079802901645198","13.75113658970406","1.739473697571654","2.9339648125706614","-1.1541295195518586","12.597007070152202","22.28030775399202","-21.543575611788064","-130.9598311371061","0","0","0","0","false","false","0","0","130","130","130","0","0","130","130","0","0","10.079802901645198","0","0","0","false","0","-1","0","0","0","false","130","116","-64","0","116","-64","0","19.477826595306396","0","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","following_only"
"1.2505999999940396","31.352633714675903","2026-09-08T15:20:07.108Z","28.21540168115943","11.987660552782545","16.227741128376884","11.987660552782545","28.21540168115943","0","31.15500038459633","15.738412501061319","11.987660552782545","15.738412501061319","1.9855506840753077","2.157425609135484","-1.4175549045692435","14.320857596492075","21.961229657380503","-9.203294527345566","62.02440066850939","0","0","0","0","false","false","0","0","130","130","130","0","0","130","130","0","0","11.987660552782545","0","0","0","false","0","-1","0","0","0","false","130","129","-71","0","129","-71","0","24.837990760803223","0","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","following_only"
"1.484","31.57824468612671","2026-09-08T15:20:07.342Z","35.022165627294854","17.181987460204905","17.84017816708995","17.181987460204905","35.022165627294854","0","28.780999682520697","20.168705064302117","17.181987460204905","20.168705064302117","1.9126569057640639","3.7321253465958186","-1.6801321585520697","18.488572905750047","15.084439607584285","-41.944397466782924","-196.7877236604524","0","0","0","0","false","false","0","0","130","130","130","0","0","130","130","0","0","17.181987460204905","0","0","0","false","0","-1","0","0","0","false","130","115","-63","0","115","-63","0","46.76675248146057","0","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","following_only"
"1.6640999999940396","31.753342628479004","2026-09-08T15:20:07.522Z","39.77945772909954","20.34021653023071","19.43924119886883","20.34021653023071","39.77945772909954","0","25.338229339323558","22.802270989923954","20.34021653023071","22.802270989923954","1.9442968301256642","1.9466085669613054","-1.8871179870439363","20.915153002880018","13.14660238620024","-8.740599645989148","156.32967490387458","0","0","0","0","false","false","0","0","0","0","0","0","0","0","0","0","0","20.34021653023071","0","0","0","false","0","-1","0","0","0","false","0","80","-44","0","80","-44","0","63.41963720321655","0","0","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","following_only"
