"participant","condition","joint","controller_mode","target_mode","motor_enabled","tolerance_deg","rmse_deg","mae_deg","max_error_deg","within_tolerance_percent","sample_rate_hz"
"S01","LADRC 跟隨＋自抗擾補償","elbow","adrc","sine","true","3","7.824430432566197","5.502808114351141","38.16889587978769","35.64356435643565","6.745362563237774"

"test_time_s","system_time_s","wall_time","reference_target_deg","measured_deg","tracking_error_deg","target_angle","reference_target_angle","target_velocity","reference_target_velocity","measured_angle_raw","elbow_angle","elbow_angle_raw","shoulder_angle","shoulder_angle_raw","upper_angle","forearm_angle","omega","alpha","jerk","error_for_control","integral_error","derivative_error","filtered_measurement_velocity","control_active","anti_windup_active","raw_pid_output","feedback_pid_output","feedforward_output","following_output","elbow_following_output","shoulder_following_output","controller_compensation_output","pid_output","motor_cmd","adrc_output","adrc_raw_output","adrc_estimated_angle","adrc_estimated_velocity","adrc_estimated_disturbance","adrc_observer_error","adrc_saturated","ilc_output","ilc_current_cycle","ilc_last_rmse","ilc_improvement_percent","ilc_learned_peak_pwm","ilc_frozen","desired_motor_cmd","desired_pwm_biceps","desired_pwm_triceps","desired_pwm_deltoid","pwm_biceps","pwm_triceps","pwm_deltoid","virtual_cable_effort_biceps","virtual_cable_effort_triceps","virtual_cable_effort_deltoid","elbow_soft_landing_scale","shoulder_motion_state","shoulder_release_command","shoulder_release_pwm","shoulder_motor_enable","motor_enabled","emergency_stop","motion_state","target_joint","target_mode","controller_mode"
"0.07339999999850988","532.9860742092133","2026-09-07T15:59:05.214Z","45.479466036562314","7.310570156774623","38.16889587978769","45.479466036562314","45.479466036562314","","","","7.310570156774623","","1.9354059761190832","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","肘屈曲","elbow","","adrc"
"0.28480000000074507","533.1843953132629","2026-09-07T15:59:05.425Z","41.31024487164893","10.969258407088923","30.34098646456001","41.31024487164893","41.31024487164893","-23.809074717675802","-23.809074717675802","14.678614957053654","10.969258407088923","14.678614957053654","2.742497204170738","3.9806446229877426","-2.5253705976437573","12.153244359409896","31.525943753624382","88.73268119561912","110.59286066031935","30.34098646456001","0","0","0","false","false","-29.76087027510144","0","100","100","100","100","0","100","100","-29.76087027510144","-29.76087027510144","11.23784251291557","17.957537877748543","-17.0159706716625","-0.3778177954001638","false","0","-1","0","0","0","false","100","44","-115","79","44","-115","79","400.5020568370822","194.03799376120958","260.78522777557373","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.3253999999985099","533.2596559524536","2026-09-07T15:59:05.466Z","39.44813969770789","13.00577842880978","26.442361268898107","39.44813969770789","39.44813969770789","-25.63820667832747","-25.63820667832747","17.133225084634574","13.00577842880978","17.133225084634574","2.805380284062005","3.4277858966519115","-2.584686468842321","14.548538615792253","31.282215178840325","29.858680583801767","-411.6612615788009","26.442361268898107","0","0","0","false","false","-69.92751394817057","0","100","100","100","0","0","100","100","-55","-69.92751394817057","13.220680037092281","18.98526306105348","-3.6565263668907955","-0.55038095492373","true","0","-1","0","0","0","false","100","44","-115","7","44","-115","7","403.51248240470915","180.72264990439808","262.3283178806305","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.43789999999850987","533.3839795589447","2026-09-07T15:59:05.578Z","36.09769127657064","16.63218161703712","19.465509659533524","36.09769127657064","36.09769127657064","-28.150949094237443","-28.150949094237443","20.869090318553944","16.63218161703712","20.869090318553944","2.6731470001369106","2.577989140044139","-2.6568888076631367","18.212201510890807","29.297465509021247","-5.855664486808379","-219.84141469304808","19.465509659533524","0","0","0","false","false","-146.8622875334904","0","100","100","100","0","0","100","100","-55","-146.8622875334904","16.942798336476084","22.434526634480825","21.13995637899556","0.032651131954210655","true","0","-1","0","0","0","false","100","100","-65","0","100","-65","0","408.4854266643527","158.72693490982087","263.74445962905884","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.6846999999992549","533.606607913971","2026-09-07T15:59:05.825Z","29.48045702042212","23.181157009791715","6.299300010630404","29.48045702042212","29.48045702042212","-30.90728179669067","-30.90728179669067","27.32753193271637","23.181157009791715","27.32753193271637","2.767983668722997","3.4744863032180957","-2.805593183240731","24.521938749475638","26.768500032822946","-17.24135476593464","-88.32003820871697","6.299300010630404","0","0","0","false","false","-259.63736161083534","0","100","100","100","0","0","100","100","-55","-259.63736161083534","23.83178837811852","27.88195677061776","47.07508191081603","-0.07532244827045176","true","0","-1","0","0","0","false","100","156","-15","-5","156","-15","-5","429.7279653549197","138.31946361981937","261.65143942832947","1","肩關節未抬舉","false","0","true","true","false","肘屈曲","elbow","sine","adrc"
"0.831","533.7795860767365","2026-09-07T15:59:05.971Z","24.07074010342924","26.519166060410733","-2.4484259569814917","24.07074010342924","24.07074010342924","-31.394216310270746","-31.394216310270746","28.302033832804355","26.519166060410733","28.302033832804355","2.8547639940239655","3.2270105796099973","-2.9453095851127955","25.35672424769156","2.6438443231089344","-113.57232300548387","-24.724986992422714","-2.4484259569814917","0","0","0","false","false","-232.08203256074563","0","0","0","0","0","0","0","0","-55","-232.08203256074563","27.139524906909013","17.299314903193537","25.032768492969403","0.5467470469308999","true","0","-1","0","0","0","false","0","10","-6","0","10","-6","0","452.19853138923673","132.49487865888187","261.0100860595703","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
"0.9728999999985098","533.9275960922241","2026-09-07T15:59:06.113Z","19.466853680815234","27.603515114215654","-8.13666143340042","19.466853680815234","19.466853680815234","-30.636808769560883","-30.636808769560883","27.96617671660333","27.603515114215654","27.96617671660333","2.692883467274524","2.3410968615278427","-2.880462306480382","25.085714410122947","-6.234130502333446","-95.73403632143851","-337.62938140885086","-8.13666143340042","0","0","0","true","false","-173.72528943994826","-55","-100","-100","-100","0","-55","-155","-155","-55","-173.72528943994826","27.83763465638196","3.463762293652085","3.8398812848294654","0.22763592225035012","true","0","-1","0","0","0","false","-155","-44","49","0","-44","49","0","461.4533028602603","130.55805708811866","261.0100860595703","1","肩關節未抬舉","false","0","true","true","false","靜止","elbow","sine","adrc"
"1.0230999999977648","533.9770019054413","2026-09-07T15:59:06.163Z","17.964849966857727","27.441523193589003","-9.476673226731275","17.964849966857727","17.964849966857727","-30.146371201803987","-30.146371201803987","26.65952639244864","27.441523193589003","26.65952639244864","2.700071758116209","3.1442318653821832","-2.7566703812656357","23.902856011183005","-17.691488810136505","-168.47254634851953","-939.953093563702","-9.476673226731275","0","0","0","true","false","-147.77647261962846","-55","-100","-100","-100","0","-55","-155","-155","-55","-147.77647261962846","27.598087604243215","-1.9355963916199235","-3.599577170649754","0.32602095760740113","true","0","-1","0","0","0","false","-155","-117","130","0","-117","130","0","462.07213020324735","130.92784788058387","261.0100860595703","1","肩關節未抬舉","false","0","true","true","false","肘伸展","elbow","sine","adrc"
"1.192699999999255","534.1250851154327","2026-09-07T15:59:06.333Z","13.647855037649654","24.784955604028546","-11.137100566378892","13.647855037649654","13.647855037649654","-27.990269837658126","-27.990269837658126","21.119977791001162","24.784955604028546","21.119977791001162","2.740841767934918","4.008287419663624","-2.4252718392801142","18.694705951721048","-35.92674034676786","-96.16508922976354","635.0595465116506","-11.137100566378892","0","0","0","true","false","-20.637618865604658","-20.637618865604658","-100","-100","-100","100","-20.637618865604658","-120.63761886560465","-120.63761886560465","-20.637618865604658","-20.637618865604658","24.442941786412657","-24.545978875026837","-36.31989197997251","0.40863533507790706","false","0","-1","0","0","0","false","-120.63761886560465","-176","83","51","-176","83","51","455.91148021486094","138.69368102000342","262.14592814445496","1","肩關節未抬舉","false","0","true","true","false","肘伸展","elbow","sine","adrc"
"1.4153999999985099","534.3485994338989","2026-09-07T15:59:06.556Z","7.9184235201729365","18.98476824664429","-11.066344726471353","7.9184235201729365","7.9184235201729365","-22.939039426880207","-22.939039426880207","15.490483695986725","18.98476824664429","15.490483695986725","2.191889670438152","2.4279554395333856","-2.2653540668004837","13.225129629186242","-23.659919446985448","40.16600405296572","285.3863814734629","-11.066344726471353","0","0","0","true","false","14.272180159063854","0","-100","-100","-100","0","0","-100","-100","14.272180159063854","14.272180159063854","18.158720917017543","-29.01117915391292","-30.94481083831143","-0.23085124146187397","false","0","-1","0","0","0","false","-100","-34","150","-22","-34","150","-22","427.7171923319502","153.778957146865","263.5098469257355","1","肩關節未抬舉","false","0","true","true","false","肘伸展","elbow","sine","adrc"
